Department,Name,Email,Username,Password,Roll Number
"BS Mathematics and Artificial Intelligence","Mubashir Qureshi","24201921002@gift.edu.pk","mubashir_qureshi_1922","mubashirqureshi123!","24201921002"
"BS Mathematics and Artificial Intelligence","Ahmed Baig","24101921003@gift.edu.pk","ahmed_baig_1923","ahmedbaig123!","24101921003"
"BS Mathematics and Artificial Intelligence","Hassan Hashmi","24201921004@gift.edu.pk","hassan_hashmi_1924","hassanhashmi123!","24201921004"
"BS Mathematics and Artificial Intelligence","Usman Farooq","24101921005@gift.edu.pk","usman_farooq_1925","usmanfarooq123!","24101921005"
"BS Political Science","Shahzaib Yousaf","241591001@gift.edu.pk","shahzaib_yousaf_591","shahzaibyousaf123!","241591001"
"BS Political Science","Abdullah Haider","242591002@gift.edu.pk","abdullah_haider_592","abdullahhaider123!","242591002"
"BS Political Science","Muhammad Khan","241591003@gift.edu.pk","muhammad_khan_593","muhammadkhan123!","241591003"
"BS Political Science","Danish Malik","242591004@gift.edu.pk","danish_malik_594","danishmalik123!","242591004"
"BS Political Science","Farhan Raza","241591005@gift.edu.pk","farhan_raza_595","farhanraza123!","241591005"
"BS Political Science","Farhan Ali","24101461001@gift.edu.pk","farhan_ali_1461","farhanali123!","24101461001"
"BS Political Science","Rizwan Mahmood","24201461002@gift.edu.pk","rizwan_mahmood_1462","rizwanmahmood123!","24201461002"
"BS Political Science","Asad Butt","24101461003@gift.edu.pk","asad_butt_1463","asadbutt123!","24101461003"
"BS Political Science","Khurram Siddiqui","24201461004@gift.edu.pk","khurram_siddiqui_1464","khurramsiddiqui123!","24201461004"
"BS Political Science","Junaid Mirza","24101461005@gift.edu.pk","junaid_mirza_1465","junaidmirza123!","24101461005"
"BS Psychology","Asad Chaudhry","241871001@gift.edu.pk","asad_chaudhry_871","asadchaudhry123!","241871001"
"BS Psychology","Khurram Qureshi","242871002@gift.edu.pk","khurram_qureshi_872","khurramqureshi123!","242871002"
"BS Psychology","Junaid Baig","241871003@gift.edu.pk","junaid_baig_873","junaidbaig123!","241871003"
"BS Psychology","Salman Hashmi","242871004@gift.edu.pk","salman_hashmi_874","salmanhashmi123!","242871004"
"BS Psychology","Talha Farooq","241871005@gift.edu.pk","talha_farooq_875","talhafarooq123!","241871005"
"BS Psychology","Maham Anwar","24101101001@gift.edu.pk","maham_anwar_1101","mahamanwar123!","24101101001"
"BS Psychology","Amna Naeem","24201101002@gift.edu.pk","amna_naeem_1102","amnanaeem123!","24201101002"
"BS Psychology","Kinza Javed","24101101003@gift.edu.pk","kinza_javed_1103","kinzajaved123!","24101101003"
"BS Psychology","Iqra Tariq","24201101004@gift.edu.pk","iqra_tariq_1104","iqratariq123!","24201101004"
"BS Psychology","Madiha Rehman","24101101005@gift.edu.pk","madiha_rehman_1105","madiharehman123!","24101101005"
"BS Social Media","Haris Anwar","24101591001@gift.edu.pk","haris_anwar_1591","harisanwar123!","24101591001"
"BS Social Media","Shoaib Naeem","24201591002@gift.edu.pk","shoaib_naeem_1592","shoaibnaeem123!","24201591002"
"BS Social Media","Adnan Javed","24101591003@gift.edu.pk","adnan_javed_1593","adnanjaved123!","24101591003"
"BS Social Media","Faisal Tariq","24201591004@gift.edu.pk","faisal_tariq_1594","faisaltariq123!","24201591004"
"BS Social Media","Noman Rehman","24101591005@gift.edu.pk","noman_rehman_1595","nomanrehman123!","24101591005"
"BS Sociology","Kamran Gill","241571001@gift.edu.pk","kamran_gill_571","kamrangill123!","241571001"
"BS Sociology","Imran Ashraf","242571002@gift.edu.pk","imran_ashraf_572","imranashraf123!","242571002"
"BS Sociology","Waqas Saleem","241571003@gift.edu.pk","waqas_saleem_573","waqassaleem123!","241571003"
"BS Sociology","Tariq Zafar","242571004@gift.edu.pk","tariq_zafar_574","tariqzafar123!","242571004"
"BS Sociology","Naveed Shah","241571005@gift.edu.pk","naveed_shah_575","naveedshah123!","241571005"
"BS Software Engineering","Haris Ahmed","241401001@gift.edu.pk","haris_ahmed_401","harisahmed123!","241401001"
"BS Software Engineering","Shoaib Sheikh","242401002@gift.edu.pk","shoaib_sheikh_402","shoaibsheikh123!","242401002"
"BS Software Engineering","Adnan Hussain","241401003@gift.edu.pk","adnan_hussain_403","adnanhussain123!","241401003"
"BS Software Engineering","Faisal Iqbal","242401004@gift.edu.pk","faisal_iqbal_404","faisaliqbal123!","242401004"
"BS Software Engineering","Noman Akram","241401005@gift.edu.pk","noman_akram_405","nomanakram123!","241401005"
"M Phil Applied Linguistics","Hamza Chaudhry","24101271001@gift.edu.pk","hamza_chaudhry_1271","hamzachaudhry123!","24101271001"
"M Phil Applied Linguistics","Ali Qureshi","24201271002@gift.edu.pk","ali_qureshi_1272","aliqureshi123!","24201271002"
"M Phil Applied Linguistics","Omar Baig","24101271003@gift.edu.pk","omar_baig_1273","omarbaig123!","24101271003"
"M Phil Applied Linguistics","Fahad Hashmi","24201271004@gift.edu.pk","fahad_hashmi_1274","fahadhashmi123!","24201271004"
"M Phil Applied Linguistics","Ibrahim Farooq","24101271005@gift.edu.pk","ibrahim_farooq_1275","ibrahimfarooq123!","24101271005"
"M Phil Economics","Faisal Ahmed","24101231001@gift.edu.pk","faisal_ahmed_1231","faisalahmed123!","24101231001"
"M Phil Economics","Noman Sheikh","24201231002@gift.edu.pk","noman_sheikh_1232","nomansheikh123!","24201231002"
"M Phil Economics","Sohail Hussain","24101231003@gift.edu.pk","sohail_hussain_1233","sohailhussain123!","24101231003"
"M Phil Economics","Adeel Iqbal","24201231004@gift.edu.pk","adeel_iqbal_1234","adeeliqbal123!","24201231004"
"M Phil Economics","Raheel Akram","24101231005@gift.edu.pk","raheel_akram_1235","raheelakram123!","24101231005"
"M Phil Mass Communication and Media Studies","Junaid Ahmed","24101351001@gift.edu.pk","junaid_ahmed_1351","junaidahmed123!","24101351001"
"M Phil Mass Communication and Media Studies","Salman Sheikh","24201351002@gift.edu.pk","salman_sheikh_1352","salmansheikh123!","24201351002"
"M Phil Mass Communication and Media Studies","Talha Hussain","24101351003@gift.edu.pk","talha_hussain_1353","talhahussain123!","24101351003"
"M Phil Mass Communication and Media Studies","Umar Iqbal","24201351004@gift.edu.pk","umar_iqbal_1354","umariqbal123!","24201351004"
"M Phil Mass Communication and Media Studies","Yasir Akram","24101351005@gift.edu.pk","yasir_akram_1355","yasirakram123!","24101351005"
"MBA for Business Graduates (Morning)","Mubashir Ali","24101241001@gift.edu.pk","mubashir_ali_1241","mubashirali123!","24101241001"
"MBA for Business Graduates (Morning)","Ahmed Mahmood","24201241002@gift.edu.pk","ahmed_mahmood_1242","ahmedmahmood123!","24201241002"
"MBA for Business Graduates (Morning)","Hassan Butt","24101241003@gift.edu.pk","hassan_butt_1243","hassanbutt123!","24101241003"
"MBA for Business Graduates (Morning)","Usman Siddiqui","24201241004@gift.edu.pk","usman_siddiqui_1244","usmansiddiqui123!","24201241004"
"MBA for Business Graduates (Morning)","Bilal Mirza","24101241005@gift.edu.pk","bilal_mirza_1245","bilalmirza123!","24101241005"
"MPhil Education","Umar Ahmed","24101841001@gift.edu.pk","umar_ahmed_1841","umarahmed123!","24101841001"
"MPhil Education","Yasir Sheikh","24201841002@gift.edu.pk","yasir_sheikh_1842","yasirsheikh123!","24201841002"
"MPhil Education","Arslan Hussain","24101841003@gift.edu.pk","arslan_hussain_1843","arslanhussain123!","24101841003"
"MPhil Education","Haris Iqbal","24201841004@gift.edu.pk","haris_iqbal_1844","harisiqbal123!","24201841004"
"MPhil Education","Shoaib Akram","24101841005@gift.edu.pk","shoaib_akram_1845","shoaibakram123!","24101841005"
"MPhil English","Khurram Gill","24101191001@gift.edu.pk","khurram_gill_1191","khurramgill123!","24101191001"
"MPhil English","Junaid Ashraf","24201191002@gift.edu.pk","junaid_ashraf_1192","junaidashraf123!","24201191002"
"MPhil English","Salman Saleem","24101191003@gift.edu.pk","salman_saleem_1193","salmansaleem123!","24101191003"
"MPhil English","Talha Zafar","24201191004@gift.edu.pk","talha_zafar_1194","talhazafar123!","24201191004"
"MPhil English","Umar Shah","24101191005@gift.edu.pk","umar_shah_1195","umarshah123!","24101191005"
"MPhil Islamic Studies","Yasir Yousaf","24101221001@gift.edu.pk","yasir_yousaf_1221","yasiryousaf123!","24101221001"
"MPhil Islamic Studies","Arslan Haider","24201221002@gift.edu.pk","arslan_haider_1222","arslanhaider123!","24201221002"
"MPhil Islamic Studies","Haris Khan","24101221003@gift.edu.pk","haris_khan_1223","hariskhan123!","24101221003"
"MPhil Islamic Studies","Shoaib Malik","24201221004@gift.edu.pk","shoaib_malik_1224","shoaibmalik123!","24201221004"
"MPhil Islamic Studies","Adnan Raza","24101221005@gift.edu.pk","adnan_raza_1225","adnanraza123!","24101221005"
"MPhil Management Sciences","Rizwan Ahmed","241611001@gift.edu.pk","rizwan_ahmed_611","rizwanahmed123!","241611001"
"MPhil Management Sciences","Asad Sheikh","242611002@gift.edu.pk","asad_sheikh_612","asadsheikh123!","242611002"
"MPhil Management Sciences","Khurram Hussain","241611003@gift.edu.pk","khurram_hussain_613","khurramhussain123!","241611003"
"MPhil Management Sciences","Junaid Iqbal","242611004@gift.edu.pk","junaid_iqbal_614","junaidiqbal123!","242611004"
"MPhil Management Sciences","Salman Akram","241611005@gift.edu.pk","salman_akram_615","salmanakram123!","241611005"
"MPhil Psychology","Danish Yousaf","24101341001@gift.edu.pk","danish_yousaf_1341","danishyousaf123!","24101341001"
"MPhil Psychology","Farhan Haider","24201341002@gift.edu.pk","farhan_haider_1342","farhanhaider123!","24201341002"
"MPhil Psychology","Rizwan Khan","24101341003@gift.edu.pk","rizwan_khan_1343","rizwankhan123!","24101341003"
"MPhil Psychology","Asad Malik","24201341004@gift.edu.pk","asad_malik_1344","asadmalik123!","24201341004"
"MPhil Psychology","Khurram Raza","24101341005@gift.edu.pk","khurram_raza_1345","khurramraza123!","24101341005"
"MS Clinical Psychology","Asad Yousaf","24101831001@gift.edu.pk","asad_yousaf_1831","asadyousaf123!","24101831001"
"MS Clinical Psychology","Khurram Haider","24201831002@gift.edu.pk","khurram_haider_1832","khurramhaider123!","24201831002"
"MS Clinical Psychology","Junaid Khan","24101831003@gift.edu.pk","junaid_khan_1833","junaidkhan123!","24101831003"
"MS Clinical Psychology","Salman Malik","24201831004@gift.edu.pk","salman_malik_1834","salmanmalik123!","24201831004"
"MS Clinical Psychology","Talha Raza","24101831005@gift.edu.pk","talha_raza_1835","talharaza123!","24101831005"
"PhD Computer Science","Omar Ahmed","24101641001@gift.edu.pk","omar_ahmed_1641","omarahmed123!","24101641001"
"PhD Computer Science","Fahad Sheikh","24201641002@gift.edu.pk","fahad_sheikh_1642","fahadsheikh123!","24201641002"
"PhD Computer Science","Ibrahim Hussain","24101641003@gift.edu.pk","ibrahim_hussain_1643","ibrahimhussain123!","24101641003"
"PhD Computer Science","Zain Iqbal","24201641004@gift.edu.pk","zain_iqbal_1644","zainiqbal123!","24201641004"
"PhD Computer Science","Saad Akram","24101641005@gift.edu.pk","saad_akram_1645","saadakram123!","24101641005"
"PhD Management Sciences","Tariq Gill","24101331001@gift.edu.pk","tariq_gill_1331","tariqgill123!","24101331001"
"PhD Management Sciences","Naveed Ashraf","24201331002@gift.edu.pk","naveed_ashraf_1332","naveedashraf123!","24201331002"
"PhD Management Sciences","Shahzaib Saleem","24101331003@gift.edu.pk","shahzaib_saleem_1333","shahzaibsaleem123!","24101331003"
"PhD Management Sciences","Abdullah Zafar","24201331004@gift.edu.pk","abdullah_zafar_1334","abdullahzafar123!","24201331004"
"PhD Management Sciences","Muhammad Shah","24101331005@gift.edu.pk","muhammad_shah_1335","muhammadshah123!","24101331005"
"PhD Psychology","Khurram Ali","24101971001@gift.edu.pk","khurram_ali_1971","khurramali123!","24101971001"
"PhD Psychology","Junaid Mahmood","24201971002@gift.edu.pk","junaid_mahmood_1972","junaidmahmood123!","24201971002"
"PhD Psychology","Salman Butt","24101971003@gift.edu.pk","salman_butt_1973","salmanbutt123!","24101971003"
"PhD Psychology","Talha Siddiqui","24201971004@gift.edu.pk","talha_siddiqui_1974","talhasiddiqui123!","24201971004"
"PhD Psychology","Umar Mirza","24101971005@gift.edu.pk","umar_mirza_1975","umarmirza123!","24101971005"
